index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
117,94.6,5.1,90.0,Transformer,2,-,36,2,-,0.05,1.0e-06,4.0e-03,0.5,32,89.5
202,93.2,3.7,90.0,Transformer,2,-,36,3,-,0.1,5.0e-07,4.0e-03,0.6,32,89.5
198,93.2,3.7,89.2,Transformer,2,-,36,3,-,0.0,7.5e-07,5.0e-03,0.6,32,89.5
234,94.3,4.8,93.3,Transformer,2,-,36,12,-,0.025,7.5e-07,4.5e-03,0.5,28,89.4
252,92.9,3.6,76.7,Transformer,2,-,72,3,-,0.125,5.0e-06,4.5e-03,0.4,36,89.3
104,94.3,5.1,89.2,Transformer,2,-,60,2,-,0.125,5.0e-07,5.0e-03,0.5,32,89.2
141,94.3,5.1,93.3,Transformer,2,-,36,3,-,0.05,7.5e-07,4.0e-03,0.6,36,89.2
147,93.2,4.1,87.5,Transformer,2,-,48,12,-,0.075,7.5e-07,4.5e-03,0.6,36,89.2
91,93.2,4.1,90.0,Transformer,2,-,48,4,-,0.0,1.0e-06,3.5e-03,0.6,32,89.2
42,93.9,5.1,84.2,Transformer,3,-,36,2,-,0.175,5.0e-07,3.5e-03,0.5,28,88.9
200,93.9,5.1,84.2,Transformer,2,-,36,3,-,0.0,5.0e-06,5.0e-03,0.6,36,88.9
166,93.2,4.4,94.2,Transformer,2,-,36,3,-,0.125,5.0e-06,4.0e-03,0.6,36,88.9
113,92.5,3.7,87.5,Transformer,2,-,48,4,-,0.15,1.0e-06,4.5e-03,0.5,28,88.8
222,92.5,3.7,88.3,Transformer,2,-,48,2,-,0.075,1.0e-06,5.5e-03,0.5,32,88.8
256,92.1,3.5,90.8,Transformer,2,-,60,12,-,0.025,2.5e-06,4.5e-03,0.5,32,88.6
38,92.9,4.2,75.0,Transformer,2,-,72,3,-,0.125,1.0e-06,5.0e-03,0.6,36,88.6
196,92.9,4.2,85.0,Transformer,2,-,48,3,-,0.025,7.5e-07,5.0e-03,0.4,28,88.6
274,91.8,3.2,86.7,Transformer,2,-,48,2,-,0.1,5.0e-07,5.0e-03,0.4,36,88.6
172,93.2,4.6,75.8,Transformer,2,-,60,4,-,0.05,1.0e-06,5.5e-03,0.5,36,88.6
177,92.5,4.1,90.8,Transformer,2,-,60,3,-,0.05,5.0e-06,5.0e-03,0.6,32,88.4
216,92.9,4.5,84.2,Transformer,2,-,48,3,-,0.05,5.0e-06,5.0e-03,0.4,36,88.3
192,92.9,4.5,89.2,Transformer,3,-,36,2,-,0.05,7.5e-07,3.5e-03,0.5,36,88.3
154,91.8,3.6,88.3,Transformer,2,-,60,2,-,0.175,1.0e-06,5.0e-03,0.4,36,88.2
138,92.5,4.4,90.0,Transformer,3,-,36,3,-,0.0,2.5e-06,3.5e-03,0.6,28,88.1
255,92.1,4.2,85.0,Transformer,3,-,36,12,-,0.025,2.5e-06,4.5e-03,0.4,36,88.0
291,92.5,4.6,87.5,Transformer,2,-,72,4,-,0.15,5.0e-06,4.5e-03,0.6,28,87.9
253,91.4,3.6,85.0,Transformer,2,-,48,4,-,0.05,7.5e-07,5.0e-03,0.6,32,87.8
24,92.1,4.5,84.2,Transformer,2,-,72,12,-,0.175,7.5e-07,5.0e-03,0.5,36,87.7
95,92.9,5.3,88.3,Transformer,2,-,60,12,-,0.1,1.0e-06,4.5e-03,0.5,32,87.6
148,91.1,3.7,87.5,Transformer,2,-,48,2,-,0.15,1.0e-06,4.5e-03,0.5,36,87.4
89,92.9,5.5,86.7,Transformer,2,-,72,12,-,0.125,5.0e-07,5.0e-03,0.6,36,87.3
54,91.4,4.3,66.7,Transformer,2,-,72,4,-,0.025,5.0e-06,5.0e-03,0.6,36,87.1
165,91.4,4.3,82.5,Transformer,2,-,72,4,-,0.05,7.5e-07,5.0e-03,0.6,32,87.1
213,92.5,5.4,80.8,Transformer,2,-,72,3,-,0.15,7.5e-07,4.0e-03,0.4,32,87.1
293,91.8,4.8,85.8,Transformer,2,-,48,4,-,0.025,1.0e-06,5.5e-03,0.6,36,87.0
135,92.1,5.2,87.5,Transformer,3,-,48,4,-,0.15,7.5e-07,3.5e-03,0.6,36,86.9
72,91.1,4.3,80.8,Transformer,2,-,72,2,-,0.05,5.0e-06,4.5e-03,0.5,36,86.8
22,91.8,5.1,80.8,Transformer,3,-,36,12,-,0.15,1.0e-06,5.0e-03,0.5,32,86.7
132,92.5,5.9,81.7,Transformer,2,-,48,2,-,0.175,5.0e-06,5.5e-03,0.5,36,86.6
273,91.1,4.6,83.3,Transformer,2,-,72,3,-,0.1,5.0e-07,4.5e-03,0.5,36,86.5
73,90.7,4.3,85.8,Transformer,2,-,72,2,-,0.075,2.5e-06,4.0e-03,0.5,36,86.4
5,90.7,4.3,88.3,Transformer,3,-,36,12,-,0.0,1.0e-06,4.0e-03,0.4,36,86.4
110,91.4,5.3,85.0,Transformer,2,-,60,2,-,0.05,7.5e-07,4.0e-03,0.4,28,86.1
58,90.4,4.5,81.7,Transformer,3,-,48,12,-,0.175,1.0e-06,3.5e-03,0.5,28,85.8
82,91.1,5.4,83.3,Transformer,2,-,72,12,-,0.025,5.0e-07,5.0e-03,0.5,28,85.7
193,91.4,5.8,85.0,Transformer,3,-,48,12,-,0.0,1.0e-06,3.5e-03,0.6,28,85.6
263,90.7,5.3,86.7,Transformer,3,-,48,4,-,0.1,5.0e-06,3.5e-03,0.4,36,85.4
60,91.4,6.2,82.5,Transformer,2,-,48,2,-,0.05,5.0e-07,5.0e-03,0.5,36,85.2
288,89.6,5.2,88.3,Transformer,2,-,72,12,-,0.0,7.5e-07,5.0e-03,0.4,28,84.5
260,89.6,5.4,84.2,Transformer,2,-,60,3,-,0.125,5.0e-07,5.5e-03,0.4,36,84.2
20,90.4,6.2,90.8,Transformer,2,-,72,12,-,0.075,5.0e-07,5.0e-03,0.6,28,84.2
150,88.6,4.5,90.8,Transformer,3,-,60,12,-,0.075,2.5e-06,4.0e-03,0.4,36,84.1
223,88.2,4.2,75.8,Transformer,2,-,72,4,-,0.175,5.0e-06,5.5e-03,0.5,28,84.0
115,90.4,6.8,87.5,Transformer,3,-,48,4,-,0.15,5.0e-06,4.0e-03,0.6,32,83.6
244,87.5,4.0,79.2,Transformer,2,-,72,3,-,0.175,5.0e-06,5.5e-03,0.6,36,83.5
217,89.6,7.0,80.0,Transformer,2,-,72,4,-,0.05,2.5e-06,5.5e-03,0.6,28,82.6
212,90.4,7.8,85.8,Transformer,2,-,60,2,-,0.05,7.5e-07,5.5e-03,0.4,32,82.5
81,88.9,7.6,84.2,Transformer,3,-,60,4,-,0.0,7.5e-07,3.5e-03,0.4,36,81.4
173,89.3,8.0,85.0,Transformer,2,-,72,3,-,0.0,7.5e-07,4.5e-03,0.6,36,81.3
270,87.1,6.0,70.0,Transformer,2,-,72,3,-,0.05,1.0e-06,5.5e-03,0.6,28,81.1
88,86.4,6.3,80.8,Transformer,2,-,72,2,-,0.15,5.0e-06,5.5e-03,0.6,36,80.1
98,87.9,12.7,49.2,Transformer,3,-,36,4,-,0.075,1.0e-06,5.0e-03,0.4,32,75.2
206,87.5,12.8,83.3,Transformer,3,-,48,12,-,0.175,2.5e-06,3.5e-03,0.6,28,74.7
86,87.9,15.7,84.2,Transformer,2,-,48,4,-,0.125,5.0e-07,5.5e-03,0.5,28,72.2
287,86.8,16.0,82.5,Transformer,3,-,48,12,-,0.15,5.0e-06,4.5e-03,0.6,32,70.8
268,83.6,15.2,66.7,Transformer,3,-,36,4,-,0.15,7.5e-07,5.0e-03,0.6,32,68.4
107,85.0,17.0,80.8,Transformer,3,-,60,4,-,0.175,5.0e-06,3.5e-03,0.6,36,68.0
171,84.6,16.7,83.3,Transformer,3,-,48,12,-,0.175,2.5e-06,4.0e-03,0.5,28,68.0
197,84.6,17.4,80.8,Transformer,3,-,60,3,-,0.075,1.0e-06,3.5e-03,0.6,32,67.2
238,81.8,16.2,19.2,Transformer,4,-,36,12,-,0.15,5.0e-06,3.5e-03,0.4,32,65.6
155,82.5,21.0,82.5,Transformer,3,-,48,3,-,0.05,5.0e-06,4.0e-03,0.6,36,61.5
280,83.6,22.6,36.7,Transformer,3,-,36,2,-,0.025,2.5e-06,5.0e-03,0.4,32,61.0
109,83.2,22.6,80.0,Transformer,3,-,48,3,-,0.025,1.0e-06,4.0e-03,0.5,36,60.6
15,81.1,21.7,89.2,Transformer,3,-,48,2,-,0.1,7.5e-07,4.0e-03,0.5,32,59.4
76,78.9,20.7,37.5,Transformer,3,-,36,2,-,0.075,2.5e-06,5.5e-03,0.4,28,58.2
53,81.4,23.5,85.0,Transformer,3,-,48,12,-,0.075,2.5e-06,4.0e-03,0.6,28,58.0
191,77.1,19.3,78.3,Transformer,3,-,48,4,-,0.05,5.0e-07,4.0e-03,0.4,28,57.8
46,69.6,14.0,44.2,Transformer,3,-,72,4,-,0.025,7.5e-07,3.5e-03,0.6,32,55.6
176,78.9,24.2,85.0,Transformer,3,-,48,2,-,0.075,5.0e-06,3.5e-03,0.4,28,54.7
122,79.3,24.8,81.7,Transformer,4,-,36,12,-,0.0,1.0e-06,3.5e-03,0.6,36,54.5
208,75.4,21.1,60.0,Transformer,3,-,48,2,-,0.0,1.0e-06,4.0e-03,0.4,28,54.3
129,76.4,24.5,20.8,Transformer,4,-,36,12,-,0.15,1.0e-06,3.5e-03,0.5,32,51.9
188,76.1,25.4,85.0,Transformer,3,-,60,4,-,0.0,2.5e-06,3.5e-03,0.6,32,50.7
240,77.9,27.8,85.8,Transformer,3,-,36,2,-,0.175,2.5e-06,5.0e-03,0.6,36,50.1
30,72.5,23.4,72.5,Transformer,3,-,48,2,-,0.175,2.5e-06,4.0e-03,0.5,32,49.1
21,76.1,28.5,86.7,Transformer,3,-,36,3,-,0.1,1.0e-06,5.0e-03,0.5,28,47.5
106,69.3,24.3,79.2,Transformer,3,-,60,2,-,0.075,2.5e-06,3.5e-03,0.4,32,44.9
169,67.1,22.9,76.7,Transformer,3,-,60,3,-,0.15,7.5e-07,3.5e-03,0.4,28,44.3
243,67.1,26.7,19.2,Transformer,4,-,36,12,-,0.175,5.0e-06,3.5e-03,0.5,32,40.4
205,67.5,29.9,85.0,Transformer,4,-,36,3,-,0.15,5.0e-06,3.5e-03,0.4,28,37.6
218,45.7,10.8,35.8,Transformer,3,-,72,3,-,0.075,5.0e-06,3.5e-03,0.6,36,34.9
133,64.6,30.1,38.3,Transformer,3,-,48,3,-,0.15,5.0e-06,4.5e-03,0.6,36,34.6
149,60.4,26.0,82.5,Transformer,3,-,60,2,-,0.05,5.0e-07,4.0e-03,0.6,36,34.4
258,58.9,25.0,20.8,Transformer,3,-,72,2,-,0.025,5.0e-06,3.5e-03,0.4,28,34.0
134,63.9,30.1,82.5,Transformer,4,-,36,12,-,0.175,7.5e-07,3.5e-03,0.5,32,33.9
204,61.8,28.1,80.8,Transformer,3,-,48,12,-,0.125,2.5e-06,5.5e-03,0.6,36,33.7
183,60.0,28.5,84.2,Transformer,3,-,60,2,-,0.15,5.0e-07,4.0e-03,0.4,36,31.5
226,53.2,21.8,63.3,Transformer,3,-,60,12,-,0.025,5.0e-07,5.5e-03,0.4,36,31.4
4,50.0,19.9,45.8,Transformer,3,-,60,12,-,0.0,1.0e-06,5.0e-03,0.6,28,30.1
96,61.1,31.8,20.8,Transformer,4,-,36,12,-,0.075,5.0e-06,3.5e-03,0.4,32,29.3
100,56.8,27.9,79.2,Transformer,3,-,60,4,-,0.075,5.0e-07,4.0e-03,0.4,28,28.9
64,50.4,22.2,39.2,Transformer,4,-,36,12,-,0.125,7.5e-07,4.0e-03,0.6,32,28.2
2,54.3,26.1,41.7,Transformer,3,-,60,4,-,0.025,2.5e-06,5.0e-03,0.4,36,28.1
14,59.6,33.1,81.7,Transformer,4,-,36,4,-,0.025,1.0e-06,3.5e-03,0.5,36,26.5
156,55.7,29.8,78.3,Transformer,3,-,60,2,-,0.125,2.5e-06,4.0e-03,0.6,36,26.0
75,49.6,23.8,20.8,Transformer,3,-,72,12,-,0.175,5.0e-07,4.0e-03,0.5,36,25.9
199,45.7,20.0,49.2,Transformer,3,-,60,12,-,0.05,7.5e-07,5.5e-03,0.6,32,25.7
105,39.3,13.7,30.8,Transformer,3,-,72,12,-,0.025,5.0e-07,4.5e-03,0.5,28,25.5
276,38.9,13.5,20.8,Transformer,3,-,60,4,-,0.15,1.0e-06,5.5e-03,0.6,32,25.4
210,47.1,22.9,77.5,Transformer,3,-,60,12,-,0.1,1.0e-06,5.0e-03,0.6,36,24.2
